event:event0_prepare_for_brushing_teeth1_scene1,time:9.659999999999998,action:walk,object:bedroom75_scene1
event:event1_prepare_for_brushing_teeth1_scene1,time:18.836999999999996,action:walk,object:bathroom11_scene1
event:event2_prepare_for_brushing_teeth1_scene1,time:24.287999999999997,action:walk,object:toothbrush67_scene1,place:bathroom11_scene1
event:event3_prepare_for_brushing_teeth1_scene1,time:27.392999999999997,action:grab,object:toothbrush67_scene1,place:bathroom11_scene1
event:event4_prepare_for_brushing_teeth1_scene1,time:27.392999999999997,action:walk,object:toothpaste64_scene1,place:bathroom11_scene1
event:event5_prepare_for_brushing_teeth1_scene1,time:30.497999999999998,action:grab,object:toothpaste64_scene1,place:bathroom11_scene1
event:event6_prepare_for_brushing_teeth1_scene1,time:51.75,action:squeeze,object:toothpaste64_scene1,place:bathroom11_scene1
event:event7_prepare_for_brushing_teeth1_scene1,time:56.510999999999996,action:put,object:toothpaste64_scene1,place:bathroom11_scene1
event:event8_prepare_for_brushing_teeth1_scene1,time:58.028999999999996,action:walk,object:faucet52_scene1,place:bathroom11_scene1
event:event9_prepare_for_brushing_teeth1_scene1,time:61.41,action:switchOn,object:faucet52_scene1,place:bathroom11_scene1
event:event10_prepare_for_brushing_teeth1_scene1,time:76.452,action:soak,object:toothbrush67_scene1,place:bathroom11_scene1
event:event11_prepare_for_brushing_teeth1_scene1,time:79.833,action:switchOff,object:faucet52_scene1,place:bathroom11_scene1
