event:event0_prepare_for_brushing_teeth1_scene6,time:11.315999999999999,action:walk,object:bedroom70_scene6
event:event1_prepare_for_brushing_teeth1_scene6,time:17.663999999999998,action:walk,object:bathroom11_scene6
event:event2_prepare_for_brushing_teeth1_scene6,time:22.907999999999998,action:walk,object:toothbrush57_scene6,place:bathroom11_scene6
event:event3_prepare_for_brushing_teeth1_scene6,time:26.012999999999998,action:grab,object:toothbrush57_scene6,place:bathroom11_scene6
event:event4_prepare_for_brushing_teeth1_scene6,time:29.462999999999997,action:walk,object:toothpaste55_scene6,place:bathroom11_scene6
event:event5_prepare_for_brushing_teeth1_scene6,time:32.568,action:grab,object:toothpaste55_scene6,place:bathroom11_scene6
event:event6_prepare_for_brushing_teeth1_scene6,time:55.062,action:squeeze,object:toothpaste55_scene6,place:bathroom11_scene6
event:event7_prepare_for_brushing_teeth1_scene6,time:62.513999999999996,action:put,object:toothpaste55_scene6,place:bathroom11_scene6
event:event8_prepare_for_brushing_teeth1_scene6,time:65.895,action:walk,object:faucet38_scene6,place:bathroom11_scene6
event:event9_prepare_for_brushing_teeth1_scene6,time:72.44999999999999,action:switchOn,object:faucet38_scene6,place:bathroom11_scene6
event:event10_prepare_for_brushing_teeth1_scene6,time:88.04399999999998,action:soak,object:toothbrush57_scene6,place:bathroom11_scene6
event:event11_prepare_for_brushing_teeth1_scene6,time:91.42499999999998,action:switchOff,object:faucet38_scene6,place:bathroom11_scene6
